,cluster,Migration,ChildPoverty
0,First cluster,0.2589451065649123,-0.4575763541991542
1,Second cluster,0.4219761054831797,0.7189891341151845
2,Third cluster,0.3410105163539472,0.0851535880624439
3,Fourth cluster,0.5889446126130926,1.355565303044295
