PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,schools,universiti,kindergart,outdoor_fa,outdoor_le,night_life,water,ave_rent,social_hou,public_hou,dyn_ew,five_y_pls,dyn_sales,child_pov,dyn_unempl,noise,air,green,bio,B_age,mig_rate,label,PLR_NAME,BZR_NAME
06300524,126,25.0,0.0,0.0,11.0,10,1.0,1.0,0.0,3.0,71.0,3.0,0.0,3.0,10.840448120323709,3.519228570467094,2.479698771402473,3.779368159449659,68.34099159197301,44.51294784619939,10.03,0.98,0,1,0,1,B_1941_1990,0.240748928690119,2,Berlepschstraße,Teltower Damm
01200623,154,61.0,4.0,4.0,21.0,24,1.0,3.0,0.0,21.0,187.0,8.0,25.0,3.0,14.53,6.69,4.41,6.07,59.13,52.36,28.67,1.7,1,1,2,2,B_1940,0.504991599845837,4,Stephankiez,Moabit Ost
05200632,132,26.0,4.0,1.0,13.0,19,0.0,0.0,1.0,4.0,99.0,5.0,11.0,1.0,8.820528848523681,10.445522660879941,19.861440068537778,3.560398051215743,67.0887318425643,29.086385600242064,47.46,0.46,2,1,0,1,B_1941_1990,0.469756926205674,0,Tiefwerder,Wilhelmstadt
04400835,115,65.0,4.0,2.0,119.0,24,2.0,1.0,2.0,31.0,152.0,3.0,16.0,3.0,12.378926480364171,7.942507006045198,9.001236797810416,4.73701352853619,68.31906458167883,57.809857751819656,8.09,0.33,1,1,2,2,B_1940,0.283783756319591,2,Rüdesheimer Platz,Schmargendorf
03300411,58,7.0,0.0,1.0,7.0,9,1.0,1.0,0.0,0.0,47.0,26.0,0.0,1.0,9.209942040473763,10.058966250419617,4.964091746537014,5.970104478364446,71.30919338453656,0.460712788475503,23.19,1.23,1,0,0,0,B_1991_2015,0.197638922628262,2,Karow Nord,Karow
10200627,61,8.0,0.0,1.0,9.0,15,0.0,0.0,0.0,4.0,148.0,9.0,3.0,1.0,8.619086225639256,2.548934581835419,38.32524491725496,6.438258473194147,65.45391837528645,6.067703892189602,29.23,0.53,0,1,0,1,B_1941_1990,0.203016015244852,0,Am Kienberg,Hellersdorf Süd
02300418,91,268.0,10.0,9.0,35.0,36,1.0,3.0,3.0,43.0,315.0,10.0,102.0,3.0,12.680746689587831,7.372565264147706,9.361043847263792,-2.29080403778702,68.14089036896826,42.39209669220261,23.82,1.92,0,1,1,2,B_1940,0.497230601785543,1,Reichenberger Straße Ost,Südliche Luisenstadt
02500728,72,154.0,5.0,7.0,37.0,22,4.0,1.0,0.0,20.0,254.0,10.0,74.0,2.0,13.97,0.74,8.37,9.84,52.41,84.35,11.05,1.25,1,1,2,2,B_1940,0.341640842813666,3,Samariterviertel,Frankfurter Allee Nord
01200627,104,42.0,1.0,1.0,9.0,11,0.0,0.0,0.0,11.0,238.0,4.0,8.0,0.0,14.52999913394451,6.689999601244927,4.409999737143517,6.069999638199807,59.12999647557736,52.3599968791008,46.28,4.57,1,1,1,2,B_1941_1990,0.64780089222712,4,Zillesiedlung,Moabit Ost
05400945,56,16.0,0.0,0.0,5.0,9,0.0,0.0,0.0,3.0,34.0,0.0,1.0,0.0,9.889999410510065,1.489999911189079,1.779999893903732,1.309999921917915,73.96999559104442,8.119999516010283,3.81,0.29,0,0,0,1,B_1941_1990,0.15943274870541,2,Kafkastraße,Gatow/Kladow
08200729,103,14.0,0.0,0.0,6.0,16,0.0,1.0,0.0,0.0,260.0,22.0,3.0,6.0,8.669983394160662,10.469891677467094,15.159774099808056,2.000034240038876,70.37990719501977,17.9808556189169,8.92,0.55,1,0,0,1,B_1941_1990,0.379232029470523,2,Britzer Garten,Britz
